index,fold
2726,0
2727,2
2740,2
2768,2
2769,1
2778,1
2788,0
2791,0
2814,0
2817,0
2822,0
2826,0
2831,1
2837,2
2841,1
2853,2
2855,2
2856,0
2864,1
2872,0
2873,1
2890,1
2894,2
2896,2
2902,2
2903,1
2905,2
2910,2
2926,1
2929,0
2933,1
2936,2
2937,1
2939,1
2945,2
2948,2
2955,0
2963,0
2968,1
2973,0
2976,0
2978,1
2985,1
2996,1
3028,2
3030,2
3033,0
3037,0
3038,0
3042,2
3043,1
3048,0
3080,1
3086,1
3095,2
3096,2
3101,0
3102,0
3104,0
3110,0
3117,1
3119,1
3130,2
3135,2
3147,0
3149,2
3151,1
3159,1
3162,0
3174,0
3177,2
3181,1
3201,2
3206,1
3210,2
3213,0
3219,0
3223,1
3224,0
3230,0
3231,0
3238,1
3249,0
3254,1
3257,2
3272,2
3273,1
3283,0
3286,1
3287,0
3289,2
3290,1
3293,1
3307,2
3312,2
3315,0
3316,1
3320,2
3321,2
3324,2
3329,0
3330,0
3332,0
3337,1
3338,2
3341,0
3343,2
3348,1
3352,0
3357,1
3358,0
3366,1
3374,2
3382,1
3394,2
3395,0
3407,0
3410,2
3423,1
3426,0
3429,0
3443,0
3450,2
3452,0
3470,1
3471,1
3474,1
3476,0
3487,1
3489,2
3492,2
3500,2
3506,2
3520,0
3543,1
3545,0
3547,2
3559,0
3568,1
3583,1
3592,0
3596,2
3606,1
3611,2
3614,2
3618,0
3625,1
3626,0
3646,0
3650,1
3671,0
3684,1
3690,0
3694,0
3696,0
3698,0
3708,0
3713,2
3715,2
3726,1
3733,0
3750,2
3753,1
3762,2
3763,1
3771,2
3793,2
3803,1
3811,2
3815,1
3818,0
3823,2
3824,0
3834,1
3835,1
3846,2
3850,0
3870,1
3874,0
3887,0
3904,1
3913,2
3920,1
3922,1
3927,1
3943,0
3972,1
3980,2
3983,0
3994,2
4004,1
4013,0
4040,0
4058,2
4062,2
4063,0
4066,0
4094,1
4097,2
4101,1
4104,0
4108,1
4114,0
4139,0
4145,1
4147,1
4148,0
4154,0
4164,0
4168,1
4177,1
4179,2
4191,2
4198,2
4202,1
4204,0
4205,1
4224,0
4226,0
4243,0
4249,1
4277,1
4293,1
4296,1
4299,1
4323,0
4330,1
4331,2
4334,0
4345,1
4351,1
4352,1
4356,0
4366,0
4377,1
4380,2
4381,0
4388,1
4400,0
4401,0
4403,0
4406,1
4408,2
4411,0
4433,1
4458,2
4459,1
4465,0
4475,0
4500,2
4502,2
4504,2
4505,2
4508,2
4512,0
4515,2
4534,1
4536,2
4538,2
4543,2
4553,2
4559,2
4575,2
4579,2
4583,1
4586,2
4590,2
4592,1
4595,2
4613,2
4654,2
4657,1
4660,2
4662,2
4668,2
4669,1
4671,1
4673,0
4676,0
4677,1
4680,1
4684,1
4698,1
4701,0
4718,2
4728,1
4730,1
4733,0
4741,0
4744,1
4762,2
4778,1
4780,0
4782,0
4784,2
4795,0
4797,2
4798,0
4800,1
4802,1
4803,1
4806,2
4818,2
4828,0
4832,1
4875,0
4878,2
4886,0
4895,0
4907,0
4909,2
4914,1
4922,1
4938,1
4939,1
4949,2
4951,2
4960,1
4962,0
4966,2
4982,1
4992,1
4996,0
5001,1
5014,0
5035,0
5051,1
5059,0
5094,1
5108,1
5109,1
5116,0
5136,1
5146,1
5175,2
5179,0
5181,2
5187,2
5201,2
5206,1
5216,2
5234,0
5241,2
5245,0
5249,1
5251,2
5255,0
5262,2
5265,0
5269,1
5288,0
5292,2
5304,2
5309,2
5322,1
5324,0
5329,2
5332,0
5334,0
5341,1
5345,0
5346,0
5363,0
5365,0
5369,0
5370,2
5376,0
5388,2
5390,1
5402,0
5407,0
5416,1
5418,0
5421,0
5424,2
5431,2
5438,1
5442,0
5451,2
5454,1
5464,0
5478,0
5479,0
5481,0
5503,1
5511,2
5522,2
5529,1
5548,2
5555,2
5558,1
5562,2
5567,0
5570,2
5571,0
5572,2
5573,0
5576,0
5580,0
5590,2
5595,2
5598,2
5599,2
5604,1
5608,0
5626,1
5632,1
5639,1
5650,1
5654,0
5663,0
5667,1
5672,2
5681,2
5685,2
5687,2
5704,2
5721,0
5728,1
5730,1
5749,0
5755,2
5759,1
5770,1
5784,1
5787,1
5799,0
5800,1
5804,2
5824,1
5825,0
5826,0
5828,1
5836,1
5837,2
5860,0
5863,1
5872,0
5876,0
5879,0
5900,0
5930,0
5944,2
5948,1
5949,0
5954,2
5970,0
5978,2
5986,2
5992,1
5993,2
5997,0
6034,0
6063,2
6066,0
6101,2
6122,0
6137,0
6145,2
6161,2
6165,1
6174,0
6188,2
6189,1
6218,1
6227,2
6229,1
6230,1
6233,2
6236,0
6262,1
6271,1
6281,0
6289,0
6290,1
6297,2
6304,1
6306,0
6314,0
6319,0
6322,1
6334,1
6336,2
6344,1
6359,2
6361,1
6365,0
6368,1
6374,1
6375,1
6379,0
6382,2
6390,1
6391,2
6393,1
6396,0
6404,0
6422,1
6429,0
6435,1
6450,1
6455,0
6457,0
6461,0
6465,0
6491,0
6493,0
6498,0
6499,0
6500,1
6510,2
6512,1
6519,0
6531,2
6548,2
6549,0
6551,0
6577,0
6578,1
6579,1
6582,1
6583,1
6585,1
6599,2
6613,2
6615,0
6641,0
6643,1
6655,0
6658,0
6660,1
6663,1
6666,1
6667,1
6668,0
6674,2
6678,0
6680,0
6685,0
6691,2
6698,0
6702,1
6713,0
6717,1
6718,1
6727,2
6739,0
6744,0
6756,1
6767,0
6777,2
6782,2
6794,2
6804,0
6821,2
6826,2
6835,2
6840,2
6872,1
6874,2
6876,1
6883,1
6903,0
6912,1
6925,1
6936,1
6941,1
6942,1
6949,1
6970,2
6971,0
6975,0
6982,0
6983,2
6998,0
7003,0
7005,2
7015,2
7016,0
7025,0
7029,1
7031,2
7034,0
7037,2
7040,1
7047,2
7057,2
7068,1
7070,2
7075,1
7078,2
7079,0
7093,2
7107,1
7117,1
7118,1
7126,1
7128,2
7130,0
7136,2
7138,0
7148,1
7151,2
7177,0
7182,0
7191,1
7199,0
7204,0
7207,1
7231,2
7235,0
7258,2
7260,1
7270,2
7275,1
7288,0
7292,1
7300,1
7302,0
7311,1
7318,0
7322,0
7327,2
7332,1
7339,2
7340,2
7341,1
7365,1
7371,1
7375,2
7376,2
7383,1
7391,0
7398,2
7399,0
7406,1
7413,1
7423,0
7425,1
7427,0
7439,2
7442,1
7445,0
7451,0
7452,0
7466,2
7477,0
7480,0
7492,0
7512,0
7514,2
7520,2
7524,1
7525,0
7533,1
7538,2
7539,2
7540,0
7556,2
7561,2
7565,2
7566,1
7570,0
7582,2
7592,1
7611,2
7617,2
7634,0
7639,2
7640,2
7648,0
7649,2
7655,2
7668,1
7670,2
7679,0
7688,1
7698,1
7699,0
7705,2
7708,2
7709,1
7711,2
7714,0
7720,0
7727,1
7731,0
7743,1
7744,1
7750,0
7752,1
7763,2
7799,2
7812,1
7817,2
7821,0
7825,2
7827,0
7834,1
7835,1
7858,0
7859,2
7862,1
7875,0
7879,0
7912,2
7924,2
7926,1
7933,1
7937,0
7953,1
7957,0
7958,1
7972,2
7977,0
7981,2
7986,0
7989,1
8002,1
8008,2
8024,2
8025,1
8032,1
8035,2
8037,2
8039,1
8042,0
8044,0
8046,0
8049,0
8068,0
8075,2
8079,2
8082,1
8107,1
8112,1
8118,1
8119,0
8130,0
8131,1
8132,0
8145,0
8160,0
8166,0
8172,2
8173,1
8179,2
8180,2
8189,1
8191,1
8192,1
8195,1
8201,2
8202,2
8219,1
8220,0
8227,2
8230,2
8248,0
8252,2
8253,1
8265,2
8267,1
8268,0
8278,1
8286,0
8287,2
8288,2
8291,2
8293,2
8302,2
8306,2
8315,2
8316,1
8317,2
8320,0
8323,1
8336,0
8338,0
8355,2
8356,0
8357,0
8363,1
8371,0
8383,0
8393,1
8397,1
8399,1
8401,1
8419,1
8423,1
8426,1
8433,0
8434,0
8438,1
8440,1
8466,0
8470,1
8471,0
8475,1
8483,0
8489,0
8493,1
8502,1
8512,0
8520,0
8530,2
8539,1
8541,0
8543,1
8546,0
8555,1
8559,0
8572,0
8573,0
8578,1
8588,2
8592,1
8600,2
8601,0
8612,1
8618,1
8621,1
8632,0
8650,2
8653,2
8657,2
8658,0
8661,0
8666,1
8667,1
8670,1
8701,0
8709,0
8719,1
8721,1
8743,0
8755,0
8769,2
8771,0
8775,1
8791,2
8794,1
8800,0
8805,1
8809,1
8811,1
8816,1
8821,2
8825,2
8833,2
8848,2
8868,1
8871,1
8873,1
8878,2
8898,2
8905,1
8910,2
8913,1
8914,0
8921,2
8930,0
8945,0
8946,1
8969,0
8983,1
8998,0
9006,0
9014,2
9019,2
9020,1
9021,1
9060,0
9064,2
9080,1
9081,1
9098,0
9100,2
9108,0
9110,2
9112,0
9117,2
9119,0
9122,0
9161,1
9174,1
9180,1
9184,0
9195,1
9198,1
9200,2
9227,0
9232,0
9239,2
9244,1
9260,2
9262,1
9266,1
9268,0
9277,0
9281,1
9283,0
9284,2
9292,2
9303,2
9306,1
9313,0
9315,0
9322,0
9331,0
9335,0
9350,1
9364,0
9370,2
9371,2
9373,0
9383,0
9391,2
9398,2
9408,0
9412,2
9417,0
9418,1
9420,2
9429,0
9433,2
9434,0
9435,0
9436,0
9443,0
9444,0
9445,0
9457,0
9471,2
9476,2
9495,1
9497,1
9502,1
9503,2
9516,1
9522,0
9527,1
9537,1
9551,1
9558,2
9573,0
9575,1
9580,0
9586,0
9590,1
9602,2
9604,1
9616,0
9627,1
9634,0
9641,1
9642,2
9648,0
9650,2
9658,2
9664,1
9667,1
9675,0
9689,2
9690,2
9699,2
9705,0
9706,0
9724,1
9725,2
9731,0
9738,0
9740,0
9752,0
9755,0
9761,2
9763,1
9765,0
9766,0
9776,2
9777,2
9783,2
9795,1
9805,0
9813,1
9840,2
9844,1
9847,1
9848,1
9850,0
9851,1
9861,2
9871,0
9872,1
9888,0
9903,2
9913,0
9931,1
9933,0
9934,0
9936,1
9942,1
9954,1
9956,0
9963,2
9965,0
9986,1
9999,2
10000,0
10001,0
10015,2
10016,1
10018,2
10020,2
10021,2
10027,0
10029,0
10033,0
10044,0
10048,1
10056,0
10060,1
10069,0
10073,0
10074,0
10084,0
10089,1
10093,1
10097,0
10114,0
10119,1
10126,2
10132,0
10135,2
10147,0
10152,0
10163,2
10164,1
10169,2
10170,0
10173,0
10178,1
10187,0
10202,0
10205,2
10211,1
10215,1
10220,1
10225,2
10227,2
10240,2
10244,1
10251,0
10253,1
10254,1
10262,0
10264,0
10265,2
10266,2
10275,1
10278,1
10283,2
10284,0
10287,2
10296,0
10318,2
10324,1
10330,1
10364,0
10373,0
10374,1
10376,1
10381,0
10385,0
10399,1
10435,1
10438,1
10439,1
10449,1
10456,1
10465,0
10466,2
10470,2
10473,2
10480,0
10486,2
10492,1
10494,2
10503,0
10504,0
10516,1
10522,0
10526,1
10541,2
10547,1
10560,2
10561,0
10572,0
10578,1
10585,2
10586,0
10589,2
10591,0
10596,1
10599,2
10628,0
10630,1
10638,2
10644,2
10648,1
10672,2
10695,0
10705,0
10715,2
10724,0
10730,0
10740,1
10746,0
10748,2
10764,2
10771,1
10778,0
10781,1
10788,2
10798,1
10800,2
10801,0
10812,2
10821,1
10829,2
10830,2
10836,2
10846,0
10848,1
10849,1
10855,2
10873,0
10877,2
10879,1
10891,0
10901,0
10902,2
10903,0
10904,0
10908,0
10919,0
10927,1
10932,2
10938,2
10944,2
10972,2
10978,0
10989,0
10992,1
10993,2
10994,2
11008,2
11015,2
11026,1
11028,2
11046,0
11053,2
11054,2
11059,1
11062,0
11065,0
11076,0
11088,0
11111,0
11114,2
11124,1
11132,1
11134,1
11139,2
11145,1
11150,2
11156,2
11161,1
11164,1
11170,0
11176,0
11192,2
11202,2
11234,2
11237,0
11244,1
11259,2
11264,1
11266,2
11271,1
11274,1
11281,0
11285,0
11289,0
11296,1
11299,2
11302,0
11308,1
11312,2
11319,2
11327,1
11330,1
11345,2
11354,0
11368,0
11374,1
11378,0
11391,1
11393,2
11395,1
11402,2
11406,0
11413,0
11414,1
11417,2
11418,2
11432,0
11435,2
11438,2
11444,2
11448,2
11451,0
11455,1
11492,0
11499,0
11501,0
11511,1
11513,1
11532,2
11535,2
11543,2
11552,0
11562,0
11574,1
11579,0
11580,1
11583,2
11584,2
11591,0
11594,1
11608,0
11611,0
11629,0
11640,1
11645,2
11647,2
11652,2
11655,0
11656,1
11668,1
11671,1
11672,0
11673,1
11685,1
11704,1
11709,2
11712,2
11716,2
11728,2
11729,1
11736,2
11743,2
11745,0
11748,0
11750,2
11760,0
11761,2
11763,1
11769,2
11773,1
11786,0
11796,0
11804,1
11814,2
11827,2
11829,2
11835,2
11839,0
11842,0
11851,0
11868,2
11873,0
11879,2
11887,1
11901,2
11913,2
11918,0
11932,0
11939,2
11941,2
11954,2
11963,0
11984,2
11993,2
12017,2
12020,1
12024,1
12032,2
12037,0
12043,0
12045,1
12047,2
12052,2
12066,2
12078,1
12089,1
12095,0
12098,0
12101,2
12102,1
12105,0
12106,1
12110,1
12119,0
12125,1
12130,0
12142,2
12145,0
12149,0
12162,2
12176,2
12179,2
12186,2
12189,1
12191,0
12194,2
12206,2
12208,1
12228,1
12230,2
12235,0
12240,2
12249,2
12253,0
12254,0
12262,0
12264,1
12281,2
12282,1
12293,2
12296,0
12319,1
12320,2
12324,2
12331,1
12350,0
12353,0
12359,0
12372,1
12376,0
12385,0
12386,0
12398,1
12405,1
12407,2
12411,1
12413,1
12431,1
12448,2
12451,0
12474,1
12477,0
12478,2
12483,0
12494,2
12499,1
12519,2
12525,1
12528,0
12537,1
12552,2
12560,0
12561,1
12569,0
12584,0
12610,2
12611,0
12631,1
12634,2
12639,2
12642,2
12653,2
12663,2
12665,1
12670,0
12703,0
12707,1
12715,2
12721,1
12723,0
12746,1
12749,1
12760,1
12762,0
12770,1
12771,0
12777,1
12796,0
12802,0
12806,1
12813,1
12834,1
12836,1
12837,2
12838,2
12844,2
12857,0
12866,2
12870,1
12876,1
12879,0
12886,0
12896,0
12899,2
12908,1
12925,2
12926,0
12932,2
12935,1
12940,2
12957,0
12961,0
12967,0
12974,0
12976,2
12997,1
13001,2
13003,2
13006,0
13016,0
13024,0
13031,0
13035,1
13039,1
13044,0
13048,2
13059,1
13060,2
13065,0
13068,1
13071,2
13078,0
13080,2
13118,1
13119,0
13122,1
13132,1
13140,0
13144,1
13148,2
13163,0
13174,2
13177,1
13185,2
13186,0
13206,1
13207,1
13208,2
13219,1
13227,1
13234,1
13246,0
13250,0
13274,0
13276,1
13285,0
13288,1
13290,1
13300,2
13303,1
13311,2
13320,2
13335,2
13337,1
13344,2
13353,2
13357,0
13367,2
13373,1
13386,1
13393,0
13412,0
13427,0
13447,2
13473,1
13478,2
13483,0
13484,1
13490,0
13491,1
13497,1
13508,2
13512,0
13518,0
13523,2
13530,2
13539,2
13554,2
13557,1
13558,2
13561,0
13572,0
13575,2
13578,0
13585,2
13588,2
13591,0
13598,2
13600,2
13615,0
13627,2
13631,0
13635,0
13661,2
13685,1
13707,1
13714,0
13729,2
13736,1
13742,2
13744,2
13745,0
13754,1
13761,2
13763,1
13767,2
13769,2
13783,2
13803,2
13811,0
13822,2
13840,2
13847,2
13852,2
13860,1
13861,1
13875,0
13880,2
13897,2
13901,2
13902,1
13903,1
13905,2
13908,2
13923,1
13925,0
13926,0
13930,2
13931,2
13933,1
13936,0
13942,2
13946,2
13957,0
13970,2
13972,1
13981,2
13988,0
13992,2
13995,2
13996,2
14012,1
14014,2
14023,1
14026,1
14029,1
14052,2
14053,1
14058,1
14062,0
14088,2
14117,0
14122,0
14123,0
14133,0
14135,0
14141,1
14144,2
14160,2
14166,2
14168,1
14176,1
14181,1
14185,2
14186,0
14190,0
14194,1
14206,1
14221,1
14239,0
14245,1
14250,1
14264,2
14293,0
14296,0
14302,1
14303,0
14305,1
14307,2
14312,2
14316,2
14324,0
14329,1
14332,2
14343,1
14350,1
14366,0
14367,2
14369,2
14370,0
14375,1
14387,0
14392,0
14419,1
14421,0
14424,1
14425,1
14428,2
14432,2
14433,0
14439,0
14448,0
14451,0
14454,2
14456,1
14475,0
14487,1
14491,0
14492,0
14508,2
14509,1
14511,2
14512,1
14513,1
14516,1
14535,2
14540,1
14546,0
14554,1
14561,1
14571,0
14575,2
14579,0
14580,0
14588,0
14598,0
14599,1
14608,0
14615,2
14632,2
14636,0
14644,2
14646,0
14649,2
14653,2
14655,0
14656,2
14657,2
14661,2
14666,1
14671,2
14672,1
14686,2
14710,0
14718,1
14733,1
14734,1
14738,1
14739,1
14763,0
14767,0
14785,0
14788,2
14789,0
14808,1
14814,0
14823,0
14834,0
14836,1
14841,2
14847,2
14849,2
14850,1
14854,0
14859,1
14871,2
14878,1
14885,1
14896,1
14903,0
14906,1
14916,2
14921,0
14925,0
14932,1
14945,2
14947,2
14950,2
14952,2
14953,2
14959,1
14961,1
14964,0
14982,0
14989,1
14991,1
14996,0
15002,0
15006,1
15007,2
15013,2
15016,0
15026,1
15032,0
15036,0
15040,1
15044,1
15052,0
15056,1
15065,2
15066,1
15069,0
15073,2
15109,1
15115,1
15139,2
15141,2
15151,0
15155,0
15164,2
15166,2
15167,0
15168,1
15170,0
15184,1
15188,2
15195,1
15203,2
15206,0
15207,1
15217,2
15218,1
15223,2
15227,2
15230,0
15232,2
15233,0
15250,2
15264,1
15265,1
15268,1
15284,0
15292,2
15296,0
15302,1
15303,2
15304,0
15315,0
15318,0
15322,1
15325,2
15328,0
15332,2
15335,1
15339,2
15352,0
15353,1
15355,2
15364,0
15371,0
15372,0
15374,0
15376,1
15379,0
15390,0
15395,2
15398,1
15401,2
15405,2
15406,2
15413,2
15416,0
15423,1
15431,1
15434,2
15442,1
15444,2
15452,0
15464,2
15468,2
15470,0
15482,1
15485,2
15495,2
15504,1
15513,2
15519,2
15524,0
15526,0
15528,0
15531,1
15548,0
15559,1
15561,1
15568,1
15578,0
15581,1
15584,2
15585,2
15596,2
15600,2
15602,1
15617,1
15621,0
15627,0
15633,1
15635,0
15639,1
15640,0
15649,2
15653,0
15658,2
15677,2
15692,1
15708,2
15743,2
15755,1
15770,1
15781,2
15783,1
15788,2
15790,2
15800,1
15810,0
15811,1
15815,0
15825,0
15856,0
15862,1
15864,0
15871,2
15873,1
15889,1
15890,1
15892,0
15903,0
15907,0
15914,1
15926,2
15936,0
15939,1
15952,1
15956,0
15959,1
15960,0
15971,2
15976,1
15978,1
15981,2
15986,0
15989,2
15991,2
15992,1
15993,2
15998,0
16001,2
16015,1
16033,2
16044,0
16055,2
16058,2
16066,2
16073,1
16081,1
16082,0
16095,0
16105,1
16120,0
16121,1
16162,2
16166,0
16169,2
16176,0
16188,0
16194,2
16195,1
16232,0
16234,2
16237,1
16240,1
16245,1
16248,2
16249,1
16250,0
16258,2
16265,1
16271,0
16272,1
16281,1
16285,0
16289,0
16293,2
16296,0
16298,2
16299,1
16304,2
16306,0
16315,2
16328,2
16330,0
16344,0
16346,2
16350,1
16351,1
16356,0
16360,2
16362,1
16363,2
16365,1
16370,1
16377,2
16379,0
16382,1
16387,0
16394,0
16396,2
16401,2
16402,0
16407,0
16418,1
16423,1
16426,2
16443,1
16449,1
16455,1
16462,0
16466,2
16469,1
16493,0
16508,2
16528,2
16533,0
16548,1
16549,1
16555,2
16557,0
16559,0
16562,2
16566,2
16569,1
16572,1
16581,2
16589,1
16595,1
16611,0
16625,1
16628,1
16629,2
16630,1
16640,0
16642,1
16646,0
16647,2
16651,1
16657,1
16658,2
16673,1
16674,1
16694,0
16704,1
16709,1
16715,2
16717,1
16740,1
16760,0
16774,2
16777,0
16780,0
16786,2
16790,0
16794,2
16795,1
16807,0
16809,0
16810,0
16817,1
16819,2
16828,0
16834,2
16836,1
16846,0
16861,2
16878,1
16879,0
16883,2
16893,0
16894,0
16899,1
16900,0
16902,0
16903,0
16909,0
16913,2
16918,0
16925,0
16927,0
16929,1
16930,2
16935,2
16945,1
16955,1
16963,1
16975,1
16986,2
16988,2
16992,2
16993,1
16998,0
16999,0
17005,0
17008,1
17010,1
17017,0
17018,0
17019,2
17039,0
17044,0
17046,2
17065,0
17072,2
17084,1
17091,1
17111,2
17119,2
17122,0
17136,1
17155,0
17161,1
17178,2
17188,0
17193,1
17195,1
17196,1
17217,0
17218,1
17222,0
17223,0
17227,2
17228,0
17230,0
17236,0
17254,2
17258,1
17263,0
17269,0
17272,1
17279,0
17286,2
17289,2
17290,0
17300,1
17305,2
17307,0
17327,1
17338,2
17341,1
17346,0
17354,1
17365,0
17371,2
17373,0
17382,1
17384,2
17390,1
17392,1
17423,1
17427,0
17434,0
17436,0
17441,0
17465,0
17471,0
17474,1
17484,1
17487,2
17501,0
17502,0
17507,1
17515,0
17539,1
17550,0
17554,2
17562,1
17569,2
17573,0
17581,2
17591,2
17603,0
17604,1
17605,0
17607,2
17622,1
17631,1
17633,2
17636,0
17646,2
17648,1
17649,2
17665,0
17684,0
17702,2
17704,2
17705,0
17706,1
17708,0
17718,2
17720,0
17721,1
17727,2
17729,2
17731,0
17749,0
17765,1
17783,2
17790,2
17796,2
17811,1
17812,2
17829,2
17833,2
17836,0
17852,2
17870,1
17883,0
17887,1
17892,1
17900,1
17905,0
17919,1
17923,0
17924,2
17926,2
17942,2
17945,2
17946,2
17955,2
17961,1
17964,1
17972,1
17973,0
17981,1
17987,0
17991,0
18006,1
18011,1
18019,0
18022,1
18026,1
18035,0
18036,1
18053,1
18055,1
18056,2
18073,1
18077,1
18079,0
18089,0
18095,1
18096,0
18105,0
18114,0
18120,1
18127,1
18135,1
18136,1
18140,2
18142,0
18153,2
18154,0
18159,0
18167,0
18172,0
18185,0
18187,0
18188,1
18199,0
18204,2
18210,2
18213,0
18218,0
18225,1
18236,0
18239,0
18252,2
18253,1
18254,2
18272,1
18277,1
18279,2
18294,0
18297,2
18301,1
18303,0
18307,2
18312,0
18314,1
18321,1
18329,2
18336,2
18342,0
18351,0
18352,1
18363,1
18365,2
18371,1
18375,1
18378,0
18388,2
18403,2
18414,0
18418,1
18426,1
18437,1
18440,1
18442,2
18460,0
18467,1
18477,2
18479,0
18484,1
18489,1
18496,2
18518,1
18519,0
18523,2
18531,2
18537,2
18540,2
18546,2
18548,2
18579,2
18584,1
18588,0
18599,1
18605,0
18613,2
18614,1
18616,0
18617,2
18625,1
18628,0
18638,2
18644,0
18651,1
18657,2
18663,0
18664,0
18679,1
18683,1
18686,2
18751,0
18757,1
18760,0
18787,0
18796,2
18825,2
18827,2
18830,2
18844,1
18854,2
18861,1
18864,0
18877,2
18884,0
18892,2
18894,1
18895,1
18903,0
18915,0
18939,2
18946,2
18950,0
18954,1
18965,2
18971,2
19007,2
19012,0
19013,2
19022,0
19024,1
19026,2
19038,2
19039,0
19040,2
19042,2
19052,0
19062,1
19066,0
19081,0
19089,1
19092,2
19093,1
19098,0
19104,0
19115,0
19123,0
19130,0
19131,0
19134,1
19138,1
19144,1
19147,0
19171,1
19172,0
19181,0
19187,1
19188,2
19196,1
19210,2
19216,2
19217,2
19240,0
19247,0
19250,0
19252,1
19257,1
19259,0
19262,1
19277,1
19288,1
19289,1
19291,2
19297,0
19299,1
19300,1
19304,0
19308,0
19313,2
19330,0
19339,1
19354,1
19369,2
19374,1
19385,1
19396,1
19400,1
19410,2
19418,2
19420,2
19435,0
19437,0
19459,1
19468,0
19472,0
19477,1
19480,1
19482,1
19490,2
19494,2
19506,0
19510,2
19516,0
19517,0
19520,2
19521,1
19527,0
19546,1
19548,0
19554,1
19559,0
19569,0
19570,0
19583,0
19587,0
19588,2
19589,2
19590,2
19591,2
19613,2
19621,2
19626,2
19629,0
19630,1
19632,0
19634,2
19645,2
19650,1
19657,1
19693,2
19698,1
19701,2
19717,2
19734,0
19739,1
19743,2
19745,1
19746,1
19755,2
19756,2
19758,2
19759,1
19767,0
19769,0
19777,1
19783,1
19787,2
19792,2
19794,1
19801,0
19802,0
19805,1
19809,2
19817,2
19830,2
19840,1
19854,1
19855,0
19862,1
19881,2
19888,2
19893,2
19894,0
19895,1
19898,0
19899,0
19908,1
19913,2
19915,2
19921,2
19923,1
19925,1
19928,0
19934,1
19945,0
19950,2
19968,1
19983,2
19990,1
